Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,132.500000,140.699997,132.100006,138.850006,133.618637,202292
2022-04-04,139.899994,150.199997,139.899994,148.000000,142.423889,341552
2022-04-05,148.750000,153.899994,147.500000,150.699997,145.022141,389881
2022-04-06,150.699997,155.800003,148.350006,153.800003,148.005356,302426
2022-04-07,155.000000,156.500000,152.550003,155.199997,149.352600,304840
2022-04-08,157.399994,165.199997,156.199997,164.250000,158.061630,531145
2022-04-11,165.100006,166.050003,160.500000,161.649994,155.559601,162734
2022-04-12,162.000000,162.000000,154.100006,158.600006,152.624527,199635
2022-04-13,158.199997,162.550003,155.000000,156.949997,151.036682,142368
2022-04-18,156.949997,156.949997,151.949997,152.550003,146.802460,109865
2022-04-19,154.000000,157.199997,151.000000,153.149994,147.379837,131414
2022-04-20,153.949997,155.899994,150.699997,154.550003,148.727112,84742
2022-04-21,155.000000,163.149994,154.949997,160.649994,154.597260,206755
2022-04-22,159.699997,159.699997,153.250000,155.100006,149.256378,111227
2022-04-25,154.699997,163.000000,153.250000,157.399994,151.469711,237340
2022-04-26,158.199997,163.600006,157.600006,158.949997,152.961319,1418988
2022-04-27,158.000000,158.300003,155.250000,156.750000,150.844208,116017
2022-04-28,158.000000,168.000000,157.449997,164.149994,157.965393,705691
2022-04-29,165.899994,166.699997,161.449997,162.449997,156.329453,210152
2022-05-02,162.949997,162.949997,156.000000,157.649994,151.710297,153755
2022-05-04,156.600006,159.350006,147.000000,149.100006,143.482452,204801
2022-05-05,149.850006,153.000000,144.449997,145.050003,139.585037,102505
2022-05-06,141.000000,144.000000,139.050003,141.350006,136.024429,149448
2022-05-09,139.600006,140.949997,136.550003,138.500000,133.281799,98696
2022-05-10,137.000000,139.949997,135.300003,136.899994,131.742081,73990
2022-05-11,136.899994,139.350006,129.500000,138.500000,133.281799,270673
2022-05-12,138.550003,138.550003,134.000000,135.100006,130.009918,83377
2022-05-13,135.149994,140.600006,135.149994,138.449997,133.233688,223727
2022-05-16,139.149994,143.949997,137.550003,142.300003,136.938644,69337
